step,id,x,y,z
37,6,4.58995e+08,6.83073e+07,1.66617e+09
37,7,1.15862e+09,2.78305e+09,5.41136e+08
37,8,1.42658e+09,7.73597e+08,2.92961e+09
37,9,4.84373e+08,2.00081e+09,2.28835e+09
38,0,4.89793e+08,2.97014e+09,1.28726e+08
38,1,1.61992e+09,1.81814e+08,1.89708e+09
38,2,2.5176e+09,2.7043e+09,1.27476e+09
38,3,2.78369e+09,1.03833e+09,7.70249e+08
38,4,2.36606e+09,2.09244e+09,1.66375e+09
38,5,4.46481e+08,1.74342e+09,1.71124e+09
38,6,4.59444e+08,6.87562e+07,1.66633e+09
38,7,1.15831e+09,2.78287e+09,5.41227e+08
38,8,1.42647e+09,7.7372e+08,2.92899e+09
38,9,4.84676e+08,2.00031e+09,2.28756e+09
39,0,4.9033e+08,2.96981e+09,1.29243e+08
39,1,1.61957e+09,1.82346e+08,1.89721e+09
39,2,2.51713e+09,2.70355e+09,1.27504e+09
39,3,2.7833e+09,1.03859e+09,7.70578e+08
39,4,2.36583e+09,2.09276e+09,1.66326e+09
39,5,4.46946e+08,1.74372e+09,1.71216e+09
39,6,4.59905e+08,6.92168e+07,1.66649e+09
39,7,1.15799e+09,2.78269e+09,5.4132e+08
39,8,1.42637e+09,7.73846e+08,2.92836e+09
39,9,4.84987e+08,1.9998e+09,2.28674e+09
40,0,4.90881e+08,2.96948e+09,1.29772e+08
40,1,1.6192e+09,1.82891e+08,1.89734e+09
40,2,2.51665e+09,2.70277e+09,1.27532e+09
40,3,2.7829e+09,1.03887e+09,7.70916e+08
40,4,2.36559e+09,2.0931e+09,1.66277e+09
40,5,4.47423e+08,1.74402e+09,1.71311e+09
40,6,4.60377e+08,6.9689e+07,1.66666e+09
40,7,1.15766e+09,2.78251e+09,5.41415e+08
40,8,1.42626e+09,7.73975e+08,2.92772e+09
40,9,4.85305e+08,1.99927e+09,2.28589e+09
41,0,4.91446e+08,2.96914e+09,1.30315e+08
41,1,1.61883e+09,1.83449e+08,1.89748e+09
41,2,2.51615e+09,2.70198e+09,1.27561e+09
41,3,2.78249e+09,1.03915e+09,7.71261e+08
41,4,2.36535e+09,2.09344e+09,1.66227e+09
41,5,4.47912e+08,1.74433e+09,1.71408e+09
41,6,4.60861e+08,7.0173e+07,1.66682e+09
41,7,1.15732e+09,2.78232e+09,5.41512e+08
41,8,1.42615e+09,7.74107e+08,2.92706e+09
41,9,4.85631e+08,1.99873e+09,2.28503e+09
42,0,4.92025e+08,2.96879e+09,1.30871e+08
42,1,1.61844e+09,1.84021e+08,1.89761e+09
42,2,2.51564e+09,2.70116e+09,1.27591e+09
42,3,2.78207e+09,1.03943e+09,7.71615e+08
42,4,2.3651e+09,2.09379e+09,1.66175e+09
42,5,4.48412e+08,1.74465e+09,1.71507e+09
42,6,4.61357e+08,7.06686e+07,1.667e+09
42,7,1.15698e+09,2.78213e+09,5.41611e+08
42,8,1.42604e+09,7.74242e+08,2.92638e+09
42,9,4.85965e+08,1.99818e+09,2.28414e+09
43,0,4.92617e+08,2.96843e+09,1.31441e+08
43,1,1.61805e+09,1.84606e+08,1.89776e+09
43,2,2.51512e+09,2.70033e+09,1.27621e+09
43,3,2.78164e+09,1.03973e+09,7.71977e+08
43,4,2.36485e+09,2.09414e+09,1.66122e+09
43,5,4.48925e+08,1.74498e+09,1.7161e+09
43,6,4.61864e+08,7.11758e+07,1.66717e+09
43,7,1.15663e+09,2.78193e+09,5.41712e+08
43,8,1.42592e+09,7.7438e+08,2.92569e+09
43,9,4.86306e+08,1.99761e+09,2.28323e+09
44,0,4.93223e+08,2.96806e+09,1.32023e+08
44,1,1.61764e+09,1.85205e+08,1.8979e+09
44,2,2.51458e+09,2.69948e+09,1.27652e+09
44,3,2.7812e+09,1.04003e+09,7.72348e+08
44,4,2.36459e+09,2.09451e+09,1.66067e+09
44,5,4.49449e+08,1.74532e+09,1.71714e+09
